station,x,y,z_base,z_crest
41.5,39.56956668915911,67.21792463347994,-10.7406,0.0
42.0,39.99963488908319,66.96289426794543,-10.894,0.0
42.5,40.42805945414866,66.70511231361372,-11.0474,0.0
43.0,40.854822779856086,66.44458936306667,-11.2008,0.0
43.5,41.27990732996844,66.18133612151705,-11.3542,0.0
44.0,41.703295637231676,65.91536340636873,-11.5076,0.0
44.5,42.124970304092486,65.6466821467721,-11.661,0.0
45.0,42.54491400341317,65.37530338317505,-11.8144,0.0
45.5,42.963109479183636,65.10123826686925,-11.9678,0.0
46.0,43.37953954723051,64.82449805953196,-12.1212,0.0
46.5,43.79418709592319,64.5450941327633,-12.2746,0.0
47.0,44.20703508687703,64.26303796761886,-12.428,0.0
47.5,44.618066555653456,63.97834115413808,-12.5814,0.0
48.0,45.02726461245703,63.69101539086792,-12.7348,0.0
48.5,45.43461244282954,63.401072484382155,-12.888200000000001,0.0
49.0,45.84009330834084,63.10852434879621,-13.0416,0.0
49.5,46.24369054727674,62.813383005277686,-13.195,0.0
50.0,46.64538757532359,62.51566058155227,-13.3484,0.0
50.5,47.045167886249764,62.215369311405475,-13.5018,0.0
51.0,47.443015052583945,61.91252153417992,-13.6552,0.0
51.5,47.83891272629016,61.60712969426829,-13.8086,0.0
52.0,48.23284463943949,61.29920634060195,-13.962,0.0
52.5,48.62479460487855,60.98876412613535,-14.115400000000001,0.0
53.0,49.01474651689469,60.67581580732607,-14.2688,0.0
53.5,49.40268435187777,60.360374243610615,-14.4222,0.0
54.0,49.78859216897855,60.04245239687606,-14.575600000000001,0.0
54.5,50.172454110763795,59.722063330927384,-14.729,0.0
55.0,50.55425440386781,59.39922021095067,-14.8824,0.0
55.5,50.933977359640636,59.07393630297219,-15.035800000000002,0.0
56.0,51.31160737479266,58.74622497331316,-15.1892,0.0
56.5,51.68712893203584,58.41609968804065,-15.342600000000001,0.0
57.0,52.06052660072129,58.08357401241413,-15.496000000000002,0.0
57.5,52.43178503747337,57.748661610328114,-15.6494,0.0
58.0,52.80088898682008,57.4113762437507,-15.802800000000001,0.0
58.5,53.16782328182007,57.07173177215803,-15.9562,0.0
59.0,53.532572844685745,56.729742151964814,-16.1096,0.0
59.5,53.89512268740291,56.38542143595087,-16.263,0.0
60.0,54.2554579123466,56.038783772683594,-16.416400000000003,0.0
60.5,54.613563712893225,55.6898434059367,-16.5698,0.0
61.0,54.96942537402908,55.33861467410482,-16.723200000000002,0.0
61.5,55.32302827295488,54.98511200961433,-16.8766,0.0
62.0,55.67435787968676,54.629349938330414,-17.03,0.0
62.5,56.02339975765323,54.27134307896001,-17.183500000000002,0.0
63.0,56.3701395642884,53.91110614245127,-17.337,0.0
63.5,56.714563051621425,53.548653931388955,-17.4905,0.0
64.0,57.05665606686187,53.18400133938623,-17.644000000000002,0.0
64.5,57.39640455298129,52.81716335047263,-17.7975,0.0
65.0,57.73379454929088,52.448155038478426,-17.951,0.0
65.5,58.068812192015145,52.07699156641514,-18.1045,0.0
66.0,58.40144371486152,51.703688185852485,-18.258,0.0
66.5,58.7316754495861,51.32826023629172,-18.4115,0.0
67.0,59.059493826555254,50.950723144535274,-18.565,0.0
67.5,59.38488537530323,50.57109242405286,-18.7185,0.0
68.0,59.7078367250857,50.189383674344,-18.872,0.0
68.5,60.028334605429094,49.80561258029705,-19.0255,0.0
69.0,60.34636584667602,49.41979491154464,-19.179000000000002,0.0
69.5,60.66191738052634,49.03194652181572,-19.3325,0.0
70.0,60.97497624057417,48.64208334828409,-19.486,0.0
70.5,61.28552956284072,48.25022141091351,-19.6395,0.0
71.0,61.59356458630286,47.85637681179948,-19.793,0.0
71.5,61.89906865341749,47.46056573450752,-19.9465,0.0
72.0,62.20202921064167,47.062804443408176,-20.1,0.0
72.5,62.50243380894846,46.66310928300873,-20.2535,0.0
73.0,62.80027010433846,46.26149667728156,-20.407,0.0
73.5,63.09552585834701,45.85798312898926,-20.5605,0.0
74.0,63.38818893854714,45.45258521900652,-20.714,0.0
74.5,63.67824731904807,45.0453196056388,-20.8675,0.0
75.0,63.965689080989364,44.636203023937846,-21.021,0.0
75.5,64.25050241303074,44.225252285013944,-21.174500000000002,0.0
76.0,64.53267561183735,43.81248427534523,-21.328,0.0
76.5,64.81219708256069,43.39791595608378,-21.4815,0.0
77.0,65.08905533931511,42.98156436235859,-21.634999999999998,0.0
77.5,65.36323900564973,42.56344660257565,-21.7885,0.0
78.0,65.63473681501593,42.143579857714904,-21.942,0.0
78.5,65.90353761123026,41.72198138062427,-22.0955,0.0
79.0,66.16963034893297,41.298668495310714,-22.249,0.0
79.5,66.43300409404173,40.873658596228374,-22.4025,0.0
80.0,66.6936480242011,40.44696914756379,-22.555999999999997,0.0
80.5,66.95155142922705,40.01861768251829,-22.7095,0.0
81.0,67.20670371154719,39.588621802587525,-22.863,0.0
81.5,67.4590943866362,39.15699917683821,-23.0165,0.0
82.0,67.7087130834466,38.7237675411821,-23.169999999999998,0.0
82.5,67.955549544835,38.288944697647096,-23.3235,0.0
83.0,68.19959362798348,37.85254851364589,-23.476999999999997,0.0
83.5,68.44083530481649,37.41459692124166,-23.630499999999998,0.0
84.0,68.67926466241279,36.975107916411254,-23.784,0.0
84.5,68.91487190341287,36.534099558305726,-23.9375,0.0
85.0,69.14764734642152,36.09158996850825,-24.091,0.0
85.5,69.3775814264056,35.647597330289464,-24.2445,0.0
86.0,69.60466469508715,35.20213988786033,-24.398,0.0
86.5,69.8288878213316,34.75523594562244,-24.551499999999997,0.0
87.0,70.05024159153119,34.30690386741586,-24.705,0.0
87.5,70.26871690998357,33.85716207576454,-24.8585,0.0
88.0,70.48430479926557,33.40602905111933,-25.012,0.0
88.5,70.69699640060207,32.95352333109856,-25.165499999999998,0.0
89.0,70.90678297423007,32.49966350972632,-25.319,0.0
89.5,71.11365589975773,32.04446823666844,-25.472499999999997,0.0
89.7198697068404,71.20370155590561,31.84388300345178,-25.54,0.0
89.7698697068404,71.22409967072879,31.798233065598023,-25.555349999999997,0.0
89.8198697068404,71.24446851858237,31.752570061409617,-25.5707,0.0
89.8698697068404,71.26480809109651,31.70689400965011,-25.586050000000004,0.0
89.9198697068404,71.28511837991337,31.66120492908847,-25.6014,0.0
89.9698697068404,71.30539937668722,31.61550283849895,-25.61675,0.0
90.0,71.31760667651866,31.587956216466115,-25.625999999999998,0.0
90.0198697068404,71.32565107308426,31.569787756661178,-25.6321,0.0
90.0698697068404,71.34587346078283,31.524059702360105,-25.64745,0.0
90.1198697068404,71.36606653147325,31.47831869438603,-25.662800000000004,0.0
90.1698697068404,71.38623027685792,31.43256475153458,-25.678150000000002,0.0
90.2198697068404,71.40636468865127,31.386797892606655,-25.693500000000004,0.0
90.2698697068404,71.42646975857978,31.3410181364085,-25.70885,0.0
90.3198697068404,71.44654547838203,31.295225501751666,-25.7242,0.0
90.3698697068404,71.46659183980861,31.24942000745295,-25.739550000000005,0.0
90.4198697068404,71.48660883462219,31.203601672334504,-25.754900000000003,0.0
90.4698697068404,71.50659645459751,31.157770515223696,-25.77025,0.0
90.5,71.51862692392123,31.130146207767293,-25.7795,0.0
90.5198697068404,71.52655469152137,31.111926554953193,-25.785600000000002,0.0
90.5698697068404,71.54648353719269,31.066069810360904,-25.80095,0.0
90.6198697068404,71.56638298342237,31.020200300290004,-25.816300000000005,0.0
90.6698697068404,71.5862530220335,30.97431804358893,-25.831650000000003,0.0
90.7198697068404,71.6060936448612,30.9284230591113,-25.847000000000005,0.0
90.7698697068404,71.62590484375268,30.882515365716017,-25.862350000000003,0.0
90.8198697068404,71.64568661056724,30.836594982267194,-25.8777,0.0
90.8698697068404,71.66543893717629,30.790661927634122,-25.893050000000006,0.0
90.9198697068404,71.68516181546329,30.74471622069138,-25.908400000000004,0.0
90.9698697068404,71.70485523732387,30.698757880318663,-25.923750000000002,0.0
91.0,71.71670838179288,30.671057022555924,-25.933,0.0
91.0198697068404,71.72451919466572,30.6527869254009,-25.939100000000003,0.0
91.0698697068404,71.74415367940864,30.606803374828196,-25.95445,0.0
91.1198697068404,71.76375868348457,30.56080724749582,-25.969800000000006,0.0
91.1698697068404,71.78333419883751,30.51479856230424,-25.985150000000004,0.0
